text,aspect,arfs,sentiment
LOCATION1 is transforming and the prices will go up and up,price,LOCATION1 transforming prices,Negative
LOCATION1 cheap and lovely people,price,LOCATION1 cheap lovely,Positive
LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,price,LOCATION1 east London,Positive
LOCATION1 is more expensive (London) but is good for some of the local schools,price,LOCATION1 expensive (London),Negative
The Nobility live in townhouses in LOCATION1,price,Nobility live townhouses,Negative
The cheapest area of London is LOCATION1 (DA18),price,cheapest area London,Positive
You will not find anywhere near London much cheaper than LOCATION1,price,find anywhere near,Positive
However you're unlikely to find anything decent and cheap in LOCATION1,price,However unlikely find,Negative
If you have alot of money ie rich you can live in nice LOCATION1 posh,price,alot money ie,Negative
If you have alot of money ie rich you can live in nice LOCATION1 posh London,price,alot money ie,Negative
LOCATION1 is quite expensive and as you hint at in your question has several parts - estate agents often call other surrounding areas LOCATION1 when most people know them by other areas,price,LOCATION1 quite expensive,Negative
already looked in LOCATION1 and cannot afford it,price,already looked LOCATION1,Negative
"as I said some areas around LOCATION1 are quite rich, so you'll have to look online to find what homes are available",price,said areas around,Negative
celebrities live in LOCATION1 - It is quite a wealthy area and is in the borough of LOCATION1,price,celebrities live LOCATION1,Negative
even LOCATION1 now is boasting huge rents because the London workers are moving in,price,even LOCATION1 boasting,Negative
for example you could choose to live near LOCATION1 where an uncompromisingly nice house would cost you upwards of a million,price,example could choose,Negative
if head into places like LOCATION1 which will probably exceed your budget,price,head places like,Negative
the nice parts of LOCATION1 are very expensive,price,nice parts LOCATION1,Negative
you can buy a property round by LOCATION1 which is one of the cheapest areas in Inner London,price,buy property round,Positive
"you wo n't meet many scary poor people there LOCATION1 is a posh area , unlike where i am",price,wo n't meet,Negative
A cheaper option yet is LOCATION1 which is just right over the river from LOCATION1,price,cheaper option yet,Positive
"Actually, the private rents in LOCATION1 seem affordable by London standards",price,"Actually, private rents",Positive
All around LOCATION1 there are many rich people in their classy homes,price,around LOCATION1 many,Negative
And LOCATION1 is certainly overpriced (although where isnt in London,price,LOCATION1 certainly overpriced,Negative
"As for LOCATION1, its equally affluent and comes with some of the most exclusive real state in the world",price,"LOCATION1, equally affluent",Negative
As soon as you go outside zone 6 i e LOCATION1 the prices are so high,price,soon go outside,Negative
"Aside from that, I will warn you that housing prices are probably ridiculous in LOCATION1",price,"Aside that, warn",Negative
"But LOCATION1 would definitely be more expensive to find a place to live Difficult to answer this one , as your name suggests you are of mediterranean extraction , and a number of answerers may not consider Italians as white",price,LOCATION1 would definitely,Negative
By going out to the likes of LOCATION1 prices drop significantly,price,going likes LOCATION1,Positive
Central London is generally getting much much much more expensive by the day - LOCATION1 in comparison to most other Zone 2 locations still seems good value,price,Central London generally,Positive
"For instance, the prices in and around LOCATION1 have already increased significantly due to the Olympics before any redevelopment being done",price,"instance, prices around",Negative
Forget LOCATION1 unless you have lots of money and speak Hewbrew,price,Forget LOCATION1 unless,Negative
"Generally, LOCATION1 is cheapest to rent/buy a property",price,"Generally, LOCATION1 cheapest",Positive
"Historic, i'm afraid any area in close proximity to LOCATION1 don't come cheap",price,"Historic, i'm afraid",Negative
However its probably quite expensive being next to LOCATION1,price,However probably quite,Negative
"However, parts of LOCATION1 are quite pricey so be warned",price,"However, parts LOCATION1",Negative
"However, since the Olympics is going to be based in LOCATION1, house prices are going up",price,"However, since Olympics",Negative
"I am currently living in LOCATION1 but need to buy a bigger house as my family is expanding, and I can't afford to buy in SN",price,currently living LOCATION1,Negative
I do n't know LOCATION2 but LOCATION1 has some very affordable properties if your renting or buying,price,n't know LOCATION2,Positive
I don't know LOCATION1 but I do know that it's in zone 5 so that will cost you more in fares,price,know LOCATION1 know,Negative
I don't live in LOCATION1 as I can't afford it,price,live LOCATION1 can't,Negative
I live in LOCATION1 but am preparing to move out reluctantly because it is so expensive,price,live LOCATION1 preparing,Negative
I live in LOCATION1 which is one of the cheapest parts of London - if not THE cheapest,price,live LOCATION1 one,Positive
I recently moved to LOCATION1 in West London and the rent is not that high,price,recently moved LOCATION1,Positive
I rent a decent large 2 bed flat in LOCATION1 for a decent price,price,rent decent large,Positive
"I used to live just up the road in LOCATION1, but couldn't afford to buy, so now live further to the North of London",price,used live road,Negative
"I usually stay in LOCATION1 when visiting London), but extremely expensive",price,usually stay LOCATION1,Negative
"I work in the LOCATION1 area, which is out of my price range, so have considered Clapton",price,"work LOCATION1 area,",Negative
"I would say , LOCATION1 is an affordable area where you can grab a 3 bed flat for under 250k",price,would say LOCATION1,Positive
I'm ready to get on the property ladder and LOCATION1 is out of my budget,price,I'm ready get,Negative
"I'm sorry my dear but if you want more affordable than the areas you have mentioned, you are looking at areas like LOCATION1",price,I'm sorry dear,Negative
I've learned that LOCATION1 is home to luxiury and wealth,price,I've learned LOCATION1,Negative
"If I could afford to buy there, I would LOCATION1 is one of the most expensive areas in London and there aren't a lot of single people",price,could afford buy,Negative
If I had a few million spare I'd love to buy a house in LOCATION1,price,million spare I'd,Negative
"If you are rich, you might live in LOCATION1",price,"rich, might live",Negative
"If you don't have a lot of budget, you could flat share in LOCATION1 as it is quite expensive",price,"lot budget, could",Negative
"If you look at the map above, LOCATION1 is generally cheaper to live than LOCATION1",price,"look map above,",Positive
If you're looking at buying a flat in LOCATION1 you will have to bring a lot of money,price,looking buying flat,Negative
"If your budget won't stretch to those, you could try a bit further down the road in LOCATION1",price,"budget stretch those,",Positive
If your poor you cant live in LOCATION1 without paying a hell of a lot for one tiny bedroom,price,poor cant live,Negative
It is a very big place and LOCATION1 costs more than LOCATION1,price,big place LOCATION1,Negative
"LOCATION1 Just saying, it's too expensive",price,"LOCATION1 saying, expensive",Negative
LOCATION1 by comparison with other Surrey postcode options is the most affordable,price,LOCATION1 comparison Surrey,Positive
LOCATION1 is also an area you might be lucky enough to find a two or two and a half bedroom flat in your price range,price,LOCATION1 also area,Positive
"LOCATION1 , especially near the High St is a posh place to live",price,LOCATION1 especially near,Negative
LOCATION1 - posh and expensive,price,LOCATION1 posh expensive,Negative
LOCATION1 ain't cheap though,price,LOCATION1 ain't cheap,Negative
LOCATION1 also has a lot of cheap nice flats hope dis helps,price,LOCATION1 also lot,Positive
LOCATION1 but is proper expensive,price,LOCATION1 proper expensive,Negative
LOCATION1 if you wannna see posh place of London,price,LOCATION1 wannna see,Negative
LOCATION1 in Essex however is an extremely expensive area with prices from 900-2000 per month for a 1bed apartment,price,LOCATION1 Essex however,Negative
"LOCATION1 in LOCATION2, was and still is, probably the most affluent area of London in terms of wealth etc",price,"LOCATION1 LOCATION2, still",Negative
"LOCATION1 in Surrey ticks all your boxes, I just hope you have deep pockets as it's also one of the most expensive areas of the UK",price,LOCATION1 Surrey ticks,Negative
"LOCATION1 in south London seems to fit all of your criteria, and it is fairly cheap (for London), being in south London",price,LOCATION1 south London,Positive
