text,aspect,arfs,sentiment
That telephone just rang and rang and rang .,telephone,rang rang rang,negative
I have been very happy with e - groups and have never had any problems other than there routine maintenance where they have to take their site down for a few hours .,"e, -, groups",happy groups never,positive
I ca n't recommend e - groups highly enough .,"e, -, groups",ca n't recommend,negative
"I highly recommend e - groups , I think they are the largest email based community provider out there .","e, -, groups",highly recommend groups,positive
I have been a member of e - groups for a long time and although I have been a member of other such sites I much prefer this one .,"e, -, groups",member groups long,positive
Yahoo has there own version but I am very happy with e - groups and the realtionships I have formed so I will stay there .,"e, -, groups",Yahoo version happy,positive
I and a few friends of mine were involved in a little email circle of our own and my friend who knew about e - groups figured it would be easier if we joined e - groups .,"e, -, groups",friends mine involved,positive
There is a community for everyone at e - groups and if you ca n't find one you can always start your own .,"e, -, groups",community everyone groups,positive
"( Hey Bozo , you wo n't honor your promotions because I do n't trust you any more when you put my money in somebody else 's account ? )",promotions,Hey Bozo wo,negative
"Now that ET has a bigger customer base , their promotions are n't as lavish as before .",promotions,ET bigger customer,negative
All it takes is $ 1000 to open an account and there have been great promotions like a $ 100 Buy.com gift certificate or $ 75 credit,promotions,takes 1000 open,positive
"The promotions that they have ( i.e . giving $ 75 to $ 100 , depending when you signed up ) is not too shabby either .",promotions,i.e giving 75,neutral
ETrade has done OK by me for the least - involved IRA decision possible .,ETrade,done OK least,positive
And worst of all ETrade is dishonest .,ETrade,worst dishonest,negative
ETrade also provides real time quotes and discounts for heavy traders .,ETrade,also provides real,positive
ETrade is laid out in a way that is easy to use and figure out .,ETrade,laid way easy,positive
I was surprised to find that ETrade charged me $ 50 .,ETrade,surprised find charged,negative
ETrade customers also have access to select IPOs .,ETrade,customers also access,positive
"ETrade is not the best for someone that just wants a good , fast , and cheap trading system .",ETrade,best someone wants,neutral
I had so many problems with ETrade so I wanted out .,ETrade,many problems wanted,negative
"Ah yes , my first experience with ETrade customer service ; was I on hold for 45 minutes or a full hour ?",ETrade,Ah yes first,negative
"When my assets were finally transferred into ETrade , they took more than twice the promise time to pay the incentive .",ETrade,assets finally transferred,negative
I informed ETrade of this decision and they handled it fine .,ETrade,informed decision handled,positive
"At the very best , ETrade is satisfactory .",ETrade,best satisfactory,positive
"The managing director of UMUC Europe is reported to publish student 's names , social security account numbers , and addresses on the World Wide Web .","managing, director",director UMUC Europe,negative
